Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
Chikkagubi Lake,2025,August,8.5,23.0,136.0,3260.0,13000.0,13.07683052,77.673996
Vijanapura Lake,2025,August,7.1,6.0,60.0,360.0,12000.0,13.00925,77.676796
Cheemasandra,2025,August,6.7,19.0,136.0,508.0,4900.0,13.06569,77.723786
Leghumenahalli Lake,2025,August,6.8,36.0,216.0,634.0,2200.0,13.01979254,77.46222486
Varanasi Lake,2025,August,7.1,5.0,56.0,188.0,4300.0,13.026885,77.68704005
Gangashetty Lake,2025,August,7.5,8.0,68.0,850.0,3500.0,13.01873035,77.69881133
Panathur Lake,2025,August,8.5,6.0,72.0,458.0,3500.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,August,7.4,19.0,128.0,796.0,15000.0,12.990651,77.69604
Mahadevapura Lake-2,2025,August,8.5,20.0,132.0,200.0,13000.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,August,8.5,20.0,128.0,324.0,24000.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,August,8.5,5.0,64.0,460.0,2800.0,12.89981,77.691348
"Ulsoor Lake Training Centre Of Fish
Breeding",2025,July,8.4,18.0,124.0,272.0,13000.0,12.899589,77.357996
Madiwala Tank,2025,July,7.3,10.0,100.0,1172.0,17000.0,12.9734,77.3444
Lalbagh Tank,2025,July,8.2,6.0,56.0,330.0,4300.0,12.9069,77.6161
Kempambudhi Tank,2025,July,8.0,9.0,104.0,390.0,9400.0,12.9507,77.5844
Yediyur Tank,2025,July,8.2,4.0,44.0,174.0,2800.0,12.9575,77.5645
Ulsoor Lake Temple,2025,July,8.5,16.0,112.0,268.0,7000.0,12.9288,77.5794
Sankey Tank,2025,July,7.7,5.0,56.0,394.0,4300.0,12.982,77.621
Byrasandra Tank,2025,July,8.2,7.0,88.0,660.0,3500.0,13.0064,77.5755
Nayandanahalli Tank,2025,July,8.5,5.0,52.0,504.0,3500.0,13.1162,77.5759
Hesaraghatta Lake,2025,July,7.3,4.0,48.0,260.0,140.0,13.0415,77.6152
Herohalli Tank,2025,July,7.2,20.0,176.0,362.0,3500.0,13.1368,77.4851
Anchepalya Lake,2025,July,7.6,4.0,40.0,280.0,2800.0,13.0012,77.4842
Shivapura Tank,2025,July,8.5,4.0,48.0,464.0,4300.0,13.0456,77.4828
Bellandur Lake,2025,July,7.4,8.0,92.0,560.0,2200.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,July,7.4,27.0,192.0,728.0,28000.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,July,7.6,4.0,44.0,460.0,70.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,July,6.6,16.0,120.0,486.0,5400.0,12.9714,77.6953
Dasarahalli Tank,2025,July,7.0,5.0,56.0,320.0,2400.0,13.0232,77.7288
Kalkere Tank,2025,July,7.6,50.0,244.0,1072.0,1700.0,13.0435,77.5141
Varthur Lake,2025,July,7.8,6.0,56.0,612.0,2100.0,13.0287,77.6685
Ibbalur Lake,2025,July,8.5,8.0,88.0,668.0,2100.0,12.922,77.666
Tubarahalli Tank,2025,July,7.4,8.0,92.0,500.0,3500.0,12.958187,77.725785
Kaikondanahalli Lake,2025,July,7.5,8.0,96.0,1086.0,3500.0,12.91627,77.737065
Agaram Lake,2025,July,8.5,6.0,64.0,660.0,2800.0,12.921,77.641
Gottigere Lake,2025,July,7.4,10.0,104.0,1334.0,12000.0,12.8552,77.5878
Puttenahalli Lake,2025,July,7.4,5.0,52.0,466.0,2400.0,12.8985,77.5849
Puttenahalli Lake,2025,July,7.4,5.0,52.0,466.0,2400.0,12.89072263,77.5871604
Arakere Lake,2025,July,7.3,12.0,116.0,382.0,14000.0,12.8765,77.5991
Kalena Agrahara Lake,2025,July,7.4,12.0,124.0,1594.0,13000.0,12.8624,77.5956
Hulimavu Lake,2025,July,7.8,9.0,108.0,412.0,1400.0,12.8775,77.5912
Singasandra Lake,2025,July,8.1,27.0,196.0,606.0,9400.0,12.8872,77.6493
Begur Tank,2025,July,8.5,5.0,48.0,690.0,1700.0,12.8814,77.6325
Parappana Agrahara Lake,2025,July,8.5,7.0,72.0,668.0,2200.0,12.8879,77.6591
Haralur Lake,2025,July,8.1,26.0,184.0,636.0,2400.0,12.89829,77.66142
Somasundrapalya Lake,2025,July,7.0,9.0,96.0,548.0,4300.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,July,7.5,7.0,88.0,856.0,11000.0,12.87466479,77.78340625
Puttenahalli Lake,2025,July,7.0,6.0,60.0,338.0,1600.0,12.8985,77.5849
Puttenahalli Lake,2025,July,7.0,6.0,60.0,338.0,1600.0,12.89072263,77.5871604
Hebbal Lake,2025,July,8.1,5.0,48.0,270.0,94.0,13.04697661,77.58600905
Nagavara Lake,2025,July,7.2,8.0,76.0,420.0,13000.0,13.0449046,77.60895858
Jakkur Lake,2025,July,7.3,27.0,192.0,720.0,7000.0,13.08770697,77.61004718
Amruthahalli Lake,2025,July,7.3,7.0,68.0,446.0,2400.0,13.06138758,77.5987903
Allalasandra Lake,2025,July,7.4,5.0,56.0,338.0,7900.0,13.09078569,77.58580537
Yelahanka Tank,2025,July,7.0,7.0,72.0,426.0,2800.0,13.0901,77.5925
Subramanyapura Tank,2025,July,8.0,17.0,112.0,820.0,33000.0,12.89668663,77.54331633
Devarakere Tank,2025,July,7.5,5.0,52.0,522.0,58000.0,12.89808367,77.5543472
Malathahalli Lake,2025,July,7.6,5.0,48.0,420.0,1700.0,12.96467512,77.49507669
Hoskere Lake,2025,July,6.9,6.0,58.0,232.0,9400.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,July,8.2,5.0,64.0,310.0,2400.0,12.89926437,77.56547215
Kengeri Tank,2025,July,7.6,6.0,65.0,578.0,2800.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,July,7.6,20.0,136.0,164.0,2100.0,12.90305626,77.55084832
Dhorekere Tank,2025,July,8.5,24.0,152.0,252.0,4800.0,12.93017436,77.494945
Jigani Tank,2025,July,7.7,31.0,170.0,852.0,4300.0,12.79585704,77.63284772
Benniganahalli Lake,2025,July,8.2,5.0,64.0,342.0,3500.0,12.99772381,77.66545556
Mathikere Tank,2025,July,7.4,5.0,52.0,242.0,4800.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,July,7.6,8.0,84.0,1090.0,280.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,July,7.6,4.0,40.0,398.0,14000.0,13.08356016,77.50682992
Andhrahalli Lake,2025,July,7.3,83.0,356.0,1232.0,170000.0,13.01026314,77.48646759
Kachohalli Lake,2025,July,7.1,56.0,220.0,904.0,1400.0,13.01365684,77.45596987
Sarakki Lake,2025,July,8.0,7.0,72.0,510.0,3500.0,12.89941681,77.57913342
Nelamangala Lake,2025,July,6.9,4.0,40.0,914.0,2400.0,13.08073442,77.40002615
Abbigere Lake,2025,July,8.0,5.0,56.0,508.0,79.0,13.0791175,77.52872073
Chelekere Lake,2025,July,7.1,16.0,112.0,548.0,11000.0,13.02641201,77.6449817
Singapura Lake,2025,July,7.8,6.0,56.0,386.0,3500.0,13.08266187,77.53568704
Narasipura Lake,2025,July,6.8,18.0,124.0,614.0,4300.0,13.07260237,77.55884035
Rachenahalli Lake,2025,July,7.3,41.0,216.0,830.0,12000.0,13.06365337,77.61270948
Kogilu Kere,2025,July,7.2,8.0,92.0,428.0,14000.0,13.11015107,77.61852742
Viswaneedam Lake,2025,July,7.8,6.0,60.0,438.0,2400.0,12.98884671,77.49016012
Ramammana Kere,2025,July,7.4,4.0,44.0,228.0,350000.0,12.96089629,77.22799123
Sadaramangala Lake,2025,July,7.9,4.0,44.0,398.0,2800.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,July,8.5,7.0,80.0,622.0,2800.0,13.02479566,77.7086534
Kundalahalli Lake,2025,July,7.2,22.0,168.0,492.0,13000.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,July,7.6,8.0,92.0,514.0,21000.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,July,7.2,7.0,72.0,486.0,7900.0,12.99262062,77.69630153
Rampura Lake,2025,July,7.6,54.0,296.0,800.0,3500.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,July,7.4,42.0,228.0,558.0,46000.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,July,7.6,6.0,64.0,554.0,2100.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,July,7.8,5.0,56.0,522.0,70.0,12.9683535,77.67578051
Nallurahalli Lake,2025,July,7.3,12.0,116.0,1294.0,46000.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,July,7.5,6.0,60.0,1418.0,23.0,12.97655779,77.74570003
Seetharampalya Lake,2025,July,7.2,7.0,75.0,874.0,9400.0,12.98248112,77.71330594
Devasandra Lake,2025,July,6.6,6.0,68.0,504.0,3500.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,July,7.4,4.0,52.0,472.0,49000.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,July,8.1,9.0,98.0,684.0,2400.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,July,7.8,9.0,104.0,450.0,1500.0,12.90544792,77.66897823
Kammasandra Lake,2025,July,7.8,6.0,60.0,492.0,2200.0,12.875368,77.350709
Rayasandra Lake,2025,July,7.7,83.0,364.0,1606.0,49000.0,12.87037689,77.6779843
Chandapura Lake,2025,July,8.0,34.0,240.0,1498.0,2800.0,12.80573568,77.70537996
Ullalu Lake,2025,July,7.0,4.0,48.0,148.0,3500.0,12.9609124,77.4804805
Sompura Lake,2025,July,7.6,10.0,108.0,384.0,4300.0,12.87447508,77.49860778
Gubbalal Lake,2025,July,6.5,14.0,144.0,172.0,33000.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,July,6.7,10.0,108.0,332.0,2800.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,July,7.3,5.0,56.0,198.0,8400.0,12.82129367,77.46615876
Machohalli Lake,2025,July,7.1,58.0,228.0,910.0,2200.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,July,7.5,5.0,56.0,826.0,79.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,July,6.7,20.0,144.0,442.0,2200.0,13.06872462,77.52323601
Alur Lake,2025,July,7.6,5.0,52.0,226.0,2200.0,13.09743325,77.45848496
Basavanapura Lake,2025,July,7.5,9.0,98.0,388.0,3500.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,July,7.4,10.0,108.0,644.0,2200.0,12.88226483,77.6455833
Kothanuru Lake,2025,July,7.2,11.0,56.0,460.0,13000.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,July,7.1,22.0,148.0,550.0,1700.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,July,7.0,22.0,184.0,1164.0,17000.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde
Lake Bengaluru",2025,July,6.8,20.0,148.0,448.0,12000.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road,
Near Hoodi,Bengaluru",2025,July,7.9,4.0,40.0,402.0,11000.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East
Taluka ,Bengaluru",2025,July,7.1,16.0,112.0,480.0,11000.0,12.964142,77.493424
"Mahadevpura  Lake, K. R. Puram ,
Bangalore East Taluka",2025,July,7.0,8.0,84.0,352.0,4300.0,13.108597,77.449327
"Segehalli Lake Baavanapura Road
Battarahalli , Bangalore East",2025,July,7.3,6.0,74.0,806.0,2400.0,12.909428,77.373485
"Kannamangala Lake Hoskote Main Road
, Bengalore",2025,July,8.2,6.0,56.0,338.0,1200.0,13.101022,77.467515
"Kannur Lake Near By Hennur Road
Bengalore",2025,July,8.3,105.0,352.0,2900.0,240000.0,13.018395,77.432364
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,July,6.5,7.0,75.0,620.0,7900.0,13.143599,77.428478
"Doddakallasandra Lake,Bengaluru",2025,July,8.0,9.0,100.0,492.0,2400.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2025,July,8.3,16.0,120.0,258.0,7900.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,July,7.7,22.0,152.0,534.0,17000.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,July,7.4,9.0,100.0,1038.0,2400.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,July,7.7,18.0,132.0,978.0,8400.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu
Vill ,Bengaluru",2025,July,7.5,6.0,68.0,554.0,11000.0,12.819339,77.322051
"Doddathogur Lake , Doddathoguru
Vill,Bengaluru",2025,July,7.4,10.0,102.0,1020.0,4300.0,12.955342,77.543927
"Anjanapura Lake ( Avala Halli Lake)
Anjanapura,Bengaluru",2025,July,7.3,13.0,128.0,380.0,22000.0,13.080847,77.368571
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",2025,July,8.2,9.0,96.0,680.0,3500.0,13.062266,77.461523
"Basspura Lake, Aishwarya Crystal
Layout, Begur, Bengaluru",2025,July,7.6,5.0,52.0,552.0,2800.0,12.859798,77.427079
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,July,7.8,9.0,104.0,410.0,3500.0,12.942969,77.488933
"Bhoganhalli Lake, Bhoganhalli,,
Bengaluru",2025,July,8.5,7.0,72.0,672.0,6300.0,13.095453,77.45898
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",2025,July,7.7,6.0,56.0,700.0,3500.0,12.983876,77.438734
"Vittasandra Lake, Vittasandra,",2025,July,7.5,4.0,44.0,558.0,3500.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West,
Bengaluru",2025,July,7.3,34.0,168.0,1220.0,1700.0,13.02981,77.53203
"Yallenahalli Lake, Begur-Koppa Rd,
Akshayanagara, Bengaluru",2025,July,7.9,7.0,72.0,542.0,4300.0,13.156942,77.37303
Doddagubbi Lake,2025,July,8.5,6.0,72.0,2328.0,2800.0,13.0744063,77.67245104
Chikkagubi Lake,2025,July,8.2,66.0,312.0,2054.0,4300.0,13.07683052,77.673996
Vijanapura Lake,2025,July,8.5,6.0,72.0,328.0,4300.0,13.00925,77.676796
Cheemasandra,2025,July,8.5,8.0,80.0,328.0,9400.0,13.06569,77.723786
Leghumenahalli Lake,2025,July,7.7,9.0,104.0,524.0,7000.0,13.01979254,77.46222486
Varanasi Lake,2025,July,8.4,4.0,46.0,282.0,3500.0,13.026885,77.68704005
Gangashetty Lake,2025,July,8.0,7.0,68.0,330.0,790.0,13.01873035,77.69881133
Panathur Lake,2025,July,7.4,28.0,184.0,556.0,79000.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,July,7.1,8.0,96.0,498.0,7000.0,12.990651,77.69604
Mahadevapura Lake-2,2025,July,6.8,8.0,76.0,354.0,7000.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,July,7.2,16.0,120.0,284.0,8400.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,July,7.2,5.0,64.0,506.0,4300.0,12.89981,77.691348
Ulsoor Lake Training Centre Of Fish Breeding,2025,June,7.7,21.0,158.0,300.0,2400.0,12.9825,77.6191
Madiwala Tank,2025,June,7.4,6.0,60.0,398.0,6300.0,12.9734,77.3444
Lalbagh Tank,2025,June,8.0,9.0,94.0,304.0,2800.0,12.9069,77.6161
Kempambudhi Tank,2025,June,8.0,23.0,154.0,270.0,4300.0,12.9507,77.5844
Yediyur Tank,2025,June,7.8,4.0,49.0,154.0,2200.0,12.9575,77.5645
Ulsoor Lake Temple,2025,June,7.2,7.0,79.0,312.0,1600.0,12.9288,77.5794
Sankey Tank,2025,June,7.0,4.0,45.0,332.0,1600.0,12.982,77.621
Byrasandra Tank,2025,June,7.1,7.0,74.0,310.0,3500.0,13.0064,77.5755
Nayandanahalli Tank,2025,June,7.2,6.0,72.0,630.0,1500.0,13.1162,77.5759
Hesaraghatta Lake,2025,June,7.1,5.0,53.0,272.0,3500.0,13.0415,77.6152
Herohalli Tank,2025,June,7.1,16.0,144.0,80.0,11000.0,13.1368,77.4851
Anchepalya Lake,2025,June,7.8,9.0,97.0,408.0,12000.0,13.0012,77.4842
Shivapura Tank,2025,June,7.1,4.0,44.0,452.0,5800.0,13.0456,77.4828
Bellandur Lake,2025,June,7.6,5.0,56.0,542.0,2800.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,June,7.4,44.0,248.0,700.0,9400.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,June,7.5,5.0,56.0,360.0,920.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,June,7.2,69.0,336.0,900.0,2400.0,12.9714,77.6953
Dasarahalli Tank,2025,June,6.7,5.0,56.0,250.0,8400.0,13.0232,77.7288
Kalkere Tank,2025,June,7.4,22.0,136.0,1084.0,17000.0,13.0435,77.5141
Varthur Lake,2025,June,7.8,6.0,64.0,392.0,2800.0,13.0287,77.6685
Ibbalur Lake,2025,June,8.2,5.0,60.0,574.0,2200.0,12.922,77.666
Tubarahalli Tank,2025,June,7.5,6.0,68.0,374.0,2400.0,12.958187,77.725785
Kaikondanahalli Lake,2025,June,7.8,18.0,152.0,696.0,1500.0,12.91627,77.737065
Agaram Lake,2025,June,7.8,8.0,92.0,494.0,1700.0,12.921,77.641
Gottigere Lake,2025,June,7.7,8.0,92.0,292.0,7900.0,12.8552,77.5878
Puttenahalli Lake,2025,June,7.1,8.0,94.0,370.0,7000.0,12.8985,77.5849
Puttenahalli Lake,2025,June,7.1,8.0,94.0,370.0,7000.0,12.89072263,77.5871604
Arakere Lake,2025,June,7.8,8.0,96.0,494.0,1700.0,12.8765,77.5991
Kalena Agrahara Lake,2025,June,8.0,4.0,44.0,288.0,2800.0,12.8624,77.5956
Singasandra Lake,2025,June,7.8,4.0,48.0,918.0,3500.0,12.8872,77.6493
Begur Tank,2025,June,7.7,30.0,210.0,894.0,1700.0,12.8814,77.6325
Parappana Agrahara Lake,2025,June,7.5,25.0,160.0,582.0,2200.0,12.8879,77.6591
Haralur Lake,2025,June,8.3,14.0,136.0,584.0,3500.0,12.89829,77.66142
Somasundrapalya Lake,2025,June,7.9,4.0,44.0,542.0,1700.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,June,7.5,8.0,72.0,650.0,2400.0,12.87466479,77.78340625
Puttenahalli Lake,2025,June,6.8,4.0,40.0,416.0,1600.0,12.8985,77.5849
Puttenahalli Lake,2025,June,6.8,4.0,40.0,416.0,1600.0,12.89072263,77.5871604
Hebbal Lake,2025,June,7.8,8.0,98.0,264.0,3500.0,13.04697661,77.58600905
Nagavara Lake,2025,June,7.6,8.0,95.0,414.0,2100.0,13.0449046,77.60895858
Jakkur Lake,2025,June,7.0,22.0,160.0,588.0,3500.0,13.08770697,77.61004718
Amruthahalli Lake,2025,June,6.9,6.0,71.0,402.0,46000.0,13.06138758,77.5987903
Allalasandra Lake,2025,June,7.3,22.0,164.0,502.0,4300.0,13.09078569,77.58580537
Yelahanka Tank,2025,June,7.1,22.0,171.0,574.0,2200.0,13.0901,77.5925
Subramanyapura Tank,2025,June,7.9,28.0,184.0,538.0,5800.0,12.89668663,77.54331633
Devarakere Tank,2025,June,8.2,7.0,88.0,260.0,6300.0,12.89808367,77.5543472
Malathahalli Lake,2025,June,7.3,6.0,64.0,318.0,14000.0,12.96467512,77.49507669
Hoskere Lake,2025,June,7.1,7.0,68.0,188.0,9400.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,June,7.4,4.0,48.0,296.0,3500.0,12.89926437,77.56547215
Kengeri Tank,2025,June,7.8,6.0,60.0,440.0,7900.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,June,8.2,5.0,64.0,130.0,8400.0,12.90305626,77.55084832
Dhorekere Tank,2025,June,8.3,14.0,136.0,584.0,3500.0,12.93017436,77.494945
Jigani Tank,2025,June,7.5,8.0,74.0,642.0,4300.0,12.79585704,77.63284772
Benniganahalli Lake,2025,June,8.2,12.0,64.0,348.0,3500.0,12.99772381,77.66545556
Mathikere Tank,2025,June,7.4,4.0,40.0,138.0,4300.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,June,7.2,6.0,58.0,440.0,46000.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,June,7.2,16.0,116.0,422.0,2100.0,13.08356016,77.50682992
Andhrahalli Lake,2025,June,7.4,73.0,352.0,888.0,58000.0,13.01026314,77.48646759
Kachohalli Lake,2025,June,6.8,5.0,48.0,800.0,9400.0,13.01365684,77.45596987
Sarakki Lake,2025,June,7.9,5.0,52.0,426.0,920.0,12.89941681,77.57913342
Nelamangala Lake,2025,June,7.0,6.0,71.0,612.0,41000.0,13.08073442,77.40002615
Abbigere Lake,2025,June,8.2,4.0,44.0,422.0,2800.0,13.0791175,77.52872073
Chelekere Lake,2025,June,7.5,5.0,58.0,264.0,1700.0,13.02641201,77.6449817
Singapura Lake,2025,June,7.4,5.0,65.0,266.0,2400.0,13.08266187,77.53568704
Narasipura Lake,2025,June,7.4,6.0,64.0,374.0,3500.0,13.07260237,77.55884035
Rachenahalli Lake,2025,June,7.1,24.0,178.0,658.0,1500.0,13.06365337,77.61270948
Kogilu Kere,2025,June,7.5,6.0,68.0,248.0,2800.0,13.11015107,77.61852742
Viswaneedam Lake,2025,June,6.9,18.0,176.0,420.0,110000.0,12.98884671,77.49016012
Ramammana Kere,2025,June,7.2,6.0,58.0,258.0,2200.0,12.96089629,77.22799123
Sadaramangala Lake,2025,June,7.6,7.0,74.0,354.0,13000.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,June,8.2,5.0,64.0,542.0,2800.0,13.02479566,77.7086534
Kundalahalli Lake,2025,June,7.7,7.0,84.0,482.0,3500.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,June,7.1,22.0,168.0,440.0,7000.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,June,7.1,6.0,72.0,430.0,9400.0,12.99262062,77.69630153
Rampura Lake,2025,June,7.2,19.0,126.0,596.0,220.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,June,7.8,7.0,76.0,474.0,2200.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,June,7.6,10.0,112.0,1134.0,2400.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,June,8.4,7.0,84.0,398.0,7900.0,12.9683535,77.67578051
Nallurahalli Lake,2025,June,7.08,6.0,61.0,407.0,1500.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,June,7.3,16.0,156.0,1150.0,14000.0,12.97655779,77.74570003
Seetharampalya Lake,2025,June,7.3,8.0,80.0,770.0,8400.0,12.98248112,77.71330594
Devasandra Lake,2025,June,8.0,6.0,56.0,396.0,7900.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,June,7.06,16.0,163.0,1160.0,17000.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,June,7.7,9.0,96.0,1136.0,4300.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,June,7.6,5.0,58.0,550.0,2400.0,12.90544792,77.66897823
Kammasandra Lake,2025,June,7.5,5.0,68.0,366.0,3500.0,13.046552,77.457159
Rayasandra Lake,2025,June,7.6,67.0,348.0,1230.0,14000.0,12.87037689,77.6779843
Chandapura Lake,2025,June,7.7,45.0,256.0,1490.0,17000.0,12.80573568,77.70537996
Ullalu Lake,2025,June,6.5,4.0,44.0,114.0,17000.0,12.9609124,77.4804805
Sompura Lake,2025,June,6.8,5.0,52.0,508.0,1700.0,12.87447508,77.49860778
Gubbalal Lake,2025,June,6.9,16.0,116.0,282.0,2100.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,June,6.5,66.0,352.0,398.0,7000.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,June,6.7,8.0,88.0,110.0,4800.0,12.82129367,77.46615876
Machohalli Lake,2025,June,7.0,8.0,84.0,824.0,1700.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,June,7.4,16.0,126.0,968.0,14000.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,June,6.5,28.0,196.0,388.0,350000.0,13.06872462,77.52323601
Alur Lake,2025,June,6.8,8.0,89.0,286.0,11000.0,13.09743325,77.45848496
Basavanapura Lake,2025,June,7.1,10.0,108.0,384.0,9400.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,June,7.7,12.0,120.0,1074.0,13000.0,12.88226483,77.6455833
Kothanuru Lake,2025,June,8.2,5.0,48.0,284.0,2400.0,12.87403308,77.58000279
Mangamanapalya Lake (Swarana Kunte),2025,June,7.7,5.0,48.0,536.0,2100.0,13.080327,77.493284
"Kannahalli Lake Kannahalli, Bengaluru",2025,June,6.9,5.0,52.0,340.0,2400.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2025,June,6.5,32.0,232.0,560.0,120000.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2025,June,7.9,8.0,84.0,362.0,7000.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2025,June,8.6,7.0,76.0,328.0,2100.0,12.978032,77.557175
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2025,June,7.04,8.0,78.0,348.0,4300.0,13.024842,77.528955
"Segehalli Lake Baavanapura Road Battarahalli
, Bangalore East",2025,June,7.5,7.0,68.0,328.0,2400.0,13.17082,77.521203
"Kannamangala Lake Hoskote Main Road, Bengalore",2025,June,7.6,6.0,56.0,258.0,4300.0,12.954478,77.529489
Kannur Lake Near By Hennur Road Bengalore,2025,June,7.9,42.0,280.0,2400.0,700.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road
, K. R. Puram , Bengaluru",2025,June,7.5,8.0,80.0,326.0,2200.0,12.974841,77.335092
"Ulsoor Lake Near Kalyani,Bengaluru",2025,June,6.5,10.0,98.0,314.0,2200.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,June,7.1,7.0,77.0,318.0,7900.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,June,7.7,11.0,120.0,1148.0,9400.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,June,7.7,28.0,188.0,636.0,4300.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill, Bengaluru",2025,June,7.8,4.0,48.0,554.0,2800.0,13.025449,77.512944
"Doddathogur Lake , Doddathoguru Vill,Bengaluru",2025,June,7.5,4.0,44.0,582.0,3500.0,12.85689657,77.65979422
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2025,June,7.5,5.0,56.0,406.0,2200.0,12.86550272,77.56632056
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",2025,June,8.1,4.0,44.0,354.0,2200.0,12.844325,77.566793
"Basspura Lake, Aishwarya Crystal Layout, Begur, Bengaluru",2025,June,8.5,5.0,52.0,530.0,2200.0,13.132451,77.32505
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,June,7.8,4.0,44.0,538.0,2400.0,12.942144,77.58635
"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",2025,June,8.4,5.0,48.0,810.0,1500.0,12.92297445,77.69935186
